"id","name","display_name","level","display_order","medium_of_instruction","parent_offering_id","root_offering_id"
72,"Upper Advanced     Jlpt Level 1 Or N1","Upper Advanced JLPT Level 1 Or N1",2,63,"1",66,1
79,"C2  Master Or Proficient","C2  Master Or Proficient",2,22,"1",73,1
78,"C1  Advance","C1  Advance",2,21,"1",73,1
77,"B2  Upper Intermediate","B2  Upper Intermediate",2,20,"1",73,1
76,"B1  Intermediate","B1  Intermediate",2,19,"1",73,1
75,"A2  Elementary","A2  Elementary",2,18,"1",73,1
87,"Arabic","Arabic",1,9,"1",1,1
88,"Level 1 Elementary Arabic","Level 1 Elementary Arabic",2,38,"1",87,1
136,"German","German",3,22,"1",111,107
89,"Level 2 Intermediate Arabic","Level 2 Intermediate Arabic",2,40,"1",87,1
90,"Level 3 High Intermediate Arabic","Level 3 High Intermediate Arabic",2,42,"1",87,1
630,"Kindergarten","Kindergarten",2,13,"1",108,107
92,"Hindi","Hindi",1,10,"1",1,1
93,"Beginner","Beginner",2,1,"1",92,1
94,"Intermediate","Intermediate",2,5,"1",92,1
96,"Portuguese","Portuguese",1,11,"1",1,1
103,"Sanskrit","Sanskrit",1,12,"1",1,1
104,"Beginner","Beginner",2,1,"1",103,1
105,"Intermediate","Intermediate",2,5,"1",103,1
106,"Master Or Proficient","Master Or Proficient",2,37,"1",103,1
107,"School Education","School Education",0,1,"1",NULL,NULL
109,"Class 11","Class 11",2,11,"1",108,107
110,"French","French",3,1,"1",109,107
111,"Class 12","Class 12",2,12,"1",108,107
112,"French","French",3,1,"1",111,107
113,"Physical Education","Physical Education",3,2,"1",109,107
114,"Physical Education","Physical Education",3,2,"1",111,107
115,"Chinese","Chinese",3,3,"1",109,107
116,"Chinese","Chinese",3,3,"1",111,107
117,"Sanskrit","Sanskrit",3,4,"1",109,107
118,"Sanskrit","Sanskrit",3,4,"1",111,107
119,"Spanish","Spanish",3,5,"1",109,107
120,"Spanish","Spanish",3,5,"1",111,107
121,"Russian","Russian",3,6,"1",109,107
122,"Russian","Russian",3,6,"1",111,107
123,"Sociology","Sociology",3,7,"1",109,107
124,"Sociology","Sociology",3,7,"1",111,107
125,"Psychology","Psychology",3,8,"1",109,107
126,"Psychology","Psychology",3,8,"1",111,107
127,"Political Science","Political Science",3,9,"1",109,107
128,"Political Science","Political Science",3,9,"1",111,107
129,"Physics","Physics",3,19,"1",109,107
99,"Level B1: Deple   Diploma Elementar De Portugues Lingua Estrangeira","Level B1: Deple   Diploma Elementar De Portugues Lingua Estrangeira",2,54,"1",96,1
100,"Level B2: Diple   Diploma Intermedio De Portugues Lingua Estrangeira","Level B2: Diple   Diploma Intermedio De Portugues Lingua Estrangeira",2,55,"1",96,1
101,"Level C1: Daple   Diploma Avancado De Portugues Lingua Estrangeira","Level C1: Daple   Diploma Avancado De Portugues Lingua Estrangeira",2,56,"1",96,1
102,"Level C2: Duple   Diploma Universitario De Portugues Lingua Estrangeira","Level C2: Duple   Diploma Universitario De Portugues Lingua Estrangeira",2,57,"1",96,1
97,"Level A1: Beginner","Level A1 Beginner",2,52,"1",96,1
91,"Level 4 Advanced Arabic","Level 4 Advanced Arabic",2,44,"1",87,1
95,"Advanced","Advanced",2,8,"1",92,1
130,"Physics","Physics",3,19,"1",111,107
131,"Mathematics","Mathematics",3,20,"1",109,107
132,"Mathematics","Mathematics",3,20,"1",111,107
133,"History","History",3,21,"1",109,107
134,"History","History",3,21,"1",111,107
135,"German","German",3,22,"1",109,107
137,"Geography","Geography",3,23,"1",109,107
138,"Geography","Geography",3,23,"1",111,107
139,"English","English",3,24,"1",109,107
140,"English","English",3,24,"1",111,107
141,"Economics","Economics",3,25,"1",109,107
142,"Economics","Economics",3,25,"1",111,107
143,"Computer Science","Computer Science",3,26,"1",109,107
144,"Computer Science","Computer Science",3,26,"1",111,107
145,"Civics","Civics",3,27,"1",109,107
146,"Civics","Civics",3,27,"1",111,107
147,"Chemistry","Chemistry",3,28,"1",109,107
148,"Chemistry","Chemistry",3,28,"1",111,107
149,"Biology","Biology",3,31,"1",109,107
150,"Biology","Biology",3,31,"1",111,107
151,"Accountancy","Accountancy",3,32,"1",109,107
152,"Accountancy","Accountancy",3,32,"1",111,107
153,"Icse","ICSE",1,2,"1",107,107
154,"Class 6","Class 6",2,18,"1",153,107
155,"Chemistry","Chemistry",3,103,"1",154,107
156,"Class 7","Class 7",2,19,"1",153,107
157,"Chemistry","Chemistry",3,103,"1",156,107
158,"Class 8","Class 8",2,20,"1",153,107
159,"Chemistry","Chemistry",3,103,"1",158,107
160,"Biology","Biology",3,106,"1",154,107
161,"Biology","Biology",3,106,"1",156,107
162,"Biology","Biology",3,106,"1",158,107
163,"Class 1","Class 1",2,13,"1",153,107
164,"General Science","General Science",3,107,"1",163,107
165,"Class 2","Class 2",2,14,"1",153,107
166,"General Science","General Science",3,107,"1",165,107
167,"Class 3","Class 3",2,15,"1",153,107
168,"General Science","General Science",3,107,"1",167,107
